Name	Cluster	desc	GID	PID1	PID2	PID3	H_Count	H_pos	H_Count_Disorder	H_pc_Disorder	G_Count	G_pos	G_Count_Disorder	G_pc_Disorder	D_Count	D_pos	D_Count_Disorder	D_pc_Disorder	GO
FAM124A	NA	family with sequence similarity 124A [Source:HGNC Symbol;Acc:HGNC:26413]	ENSG00000150510	ENSP00000280057	ENSGALP00000027434	ENSDARP00000104311	6	335,454,484,505,520,521	217	75	6	142,265,317,318,395,433	82	20	3	177,291,336	84	32	GO:0005515
GRIN3A	1	glutamate receptor, ionotropic, N-methyl-D-aspartate 3A [Source:HGNC Symbol;Acc:HGNC:16767]	ENSG00000198785	ENSP00000355155	ENSGALP00000025024	ENSDARP00000098956	5	621,659,797,806,914	0	0	4	635,773,782,890	0	0	4	101,129,299,322	0	0	GO:0017146,GO:0034220,GO:0005234,GO:0004972,GO:0051721,GO:0043025,GO:0045202,GO:0016358,GO:0016594,GO:0030425,GO:0030054,GO:0014069,GO:0045211,GO:0045471,GO:0006816,GO:0060134,GO:0042802,GO:0005262,GO:0035249,GO:0035235,GO:0005886,GO:0004970,GO:0016021,GO:0005515,GO:0016020,GO:0043005,GO:0070588
CMPK2	NA	cytidine monophosphate (UMP-CMP) kinase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:27015]	ENSG00000134326	ENSP00000256722	ENSGALP00000042236	ENSDARP00000113379	2	264,319	0	0	2	69,124	9	5	7	75,94,106,123,230,238,285	0	0	GO:0005524,GO:0006233,GO:0006227,GO:0071222,GO:0004550,GO:0005737,GO:0009142,GO:0005739,GO:0006165,GO:0005654,GO:0005829,GO:0004127,GO:0006235,GO:0033862,GO:0004798,GO:0009041
MTIF3	NA	mitochondrial translational initiation factor 3 [Source:HGNC Symbol;Acc:HGNC:29788]	ENSG00000122033	ENSP00000370508	ENSGALP00000027568	ENSDARP00000057955	4	7,44,118,259	103	29	3	103,144,208	54	26	7	12,46,77,193,216,234,250	91	26	GO:0006996,GO:0006413,GO:0032543,GO:0005739,GO:0032790,GO:0005515,GO:0070124,GO:0043024,GO:0003743,GO:0008135
PCSK2	8	proprotein convertase subtilisin/kexin type 2 [Source:HGNC Symbol;Acc:HGNC:8744]	ENSG00000125851	ENSP00000262545	ENSGALP00000014198	ENSDARP00000108211	2	79,299	31	9	2	85,305	16	5	2	141,362	40	12	GO:0034230,GO:0016486,GO:0006508,GO:0034231,GO:0043204,GO:0005515,GO:0030141,GO:0030133,GO:0007399,GO:0004175,GO:0016540,GO:0016485,GO:0016020,GO:0030070,GO:0034774,GO:0005615,GO:0043025,GO:0030425,GO:0032403,GO:0044267,GO:0004252
MPLKIP	NA	M-phase specific PLK1 interacting protein [Source:HGNC Symbol;Acc:HGNC:16002]	ENSG00000168303	ENSP00000304553	ENSGALP00000036649	ENSDARP00000101285	2	116,140	104	83	4	2,124,148,183	195	69	3	67,117,140	174	100	GO:0005813,GO:0005654,GO:0005737,GO:0007067,GO:0005515,GO:0030496,GO:0005634,GO:0005794,GO:0051301
POFUT1	NA	protein O-fucosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:14988]	ENSG00000101346	ENSP00000364902	ENSGALP00000010631	ENSDARP00000139376	2	271,370	1	0	3	263,290,362	1	0	2	276,375	4	2	GO:0007219,GO:0001756,GO:0007399,GO:0016266,GO:0006355,GO:0016020,GO:0007507,GO:0001525,GO:0008417,GO:0046922,GO:0009790,GO:0036066,GO:0006493,GO:0005783,GO:0006004
ARHGDIG	NA	Rho GDP dissociation inhibitor (GDI) gamma [Source:HGNC Symbol;Acc:HGNC:680]	ENSG00000242173	ENSP00000219409	ENSGALP00000042948	ENSDARP00000130023	3	52,94,133	7	3	3	54,96,135	8	4	2	71,93	30	24	GO:0005092,GO:0032880,GO:0005096,GO:0007162,GO:0005515,GO:0007266,GO:0005737,GO:0016020,GO:0005094,GO:0005829,GO:0016023,GO:0051056,GO:0050790,GO:0007264,GO:0030695,GO:0043547
SEPT12	NA	septin 12 [Source:HGNC Symbol;Acc:HGNC:26348]	ENSG00000140623	ENSP00000268231	ENSGALP00000038670	ENSDARP00000126089	2	61,106	18	12	3	39,104,150	41	19	4	20,95,100,180	197	75	GO:0031105,GO:0007049,GO:0042803,GO:0019003,GO:0003677,GO:0035091,GO:0048471,GO:0005819,GO:0030496,GO:0032154,GO:0005515,GO:0016021,GO:0005525,GO:0000166,GO:0015630,GO:0007059,GO:0051301,GO:0005524,GO:0001725,GO:0097227
RASSF3	NA	Ras association (RalGDS/AF-6) domain family member 3 [Source:HGNC Symbol;Acc:HGNC:14271]	ENSG00000153179	ENSP00000443021	ENSGALP00000015985	ENSDARP00000076507	3	19,69,218	44	14	2	26,75	29	19	3	219,262,286	11	6	GO:0042802,GO:0005737,GO:0005886,GO:0005515,GO:0007165,GO:0005874
HTR1B	NA	5-hydroxytryptamine (serotonin) receptor 1B, G protein-coupled [Source:HGNC Symbol;Acc:HGNC:5287]	ENSG00000135312	ENSP00000358963	ENSGALP00000025570	ENSDARP00000070593	2	113,386	6	1	2	103,291	7	2	3	245,286,298	2	1	GO:0007187,GO:0051378,GO:0004930,GO:0007205,GO:0032229,GO:0005737,GO:0016021,GO:0030818,GO:0042493,GO:0071502,GO:0035690,GO:0045471,GO:0050795,GO:0007268,GO:0014063,GO:0071312,GO:0051385,GO:0042310,GO:0008144,GO:0042756,GO:0005886,GO:0007631,GO:0005887,GO:0002031,GO:0005515,GO:0014059,GO:0007186,GO:0007198,GO:0051967,GO:0046849,GO:0004993,GO:0042220
